Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
547,95,7,16.0,114.29,52
548,449,7,16.0,114.29,40
549,2865,7,16.0,114.29,84
550,587,7,16.0,114.29,91
551,2702,7,16.0,114.29,84
552,3200,7,16.0,114.29,31
553,307,7,16.0,114.29,36
554,1337,7,16.0,114.29,84
555,2528,7,16.0,114.29,85
556,1209,7,16.0,114.29,44
557,2567,7,16.0,114.29,64
558,2320,7,16.0,114.29,77
559,2573,7,16.0,114.29,42
560,478,7,16.0,114.29,16
561,2625,7,16.0,114.29,49
562,1338,7,16.0,114.29,50
563,882,7,16.0,114.29,91
564,1042,7,16.0,114.29,60
565,2751,7,16.0,114.29,73
566,2783,7,16.0,114.29,58
567,3162,7,16.0,114.29,18
568,1655,7,16.0,114.29,91
569,950,7,16.0,114.29,20
570,2743,7,16.0,114.29,90
571,1214,7,16.0,114.29,65
572,1959,7,16.0,114.29,31
573,1600,7,16.0,114.29,38
574,337,7,16.0,114.29,80
575,3035,7,16.0,114.29,5
576,1524,7,16.0,114.29,3
577,2526,7,16.0,114.29,5
578,3040,7,16.0,114.29,5
579,1266,7,16.0,114.29,90
580,1265,7,16.0,114.29,91
581,1257,7,16.0,114.29,5
582,1449,7,16.0,114.29,61
583,1442,7,16.0,114.29,41
584,180,7,16.0,114.29,48
585,2832,7,16.0,114.29,56
586,1432,7,16.0,114.29,8
587,2513,7,16.0,114.29,65
588,968,7,16.0,114.29,16
589,948,7,16.0,114.29,51
590,2498,7,16.0,114.29,63
591,2499,7,16.0,114.29,85
592,2003,7,16.0,114.29,4
593,2005,7,16.0,114.29,60
594,1752,7,16.0,114.29,41
595,2970,7,16.0,114.29,11
596,406,7,16.0,114.29,10
597,346,7,16.0,114.29,27
598,2246,7,16.0,114.29,86
599,1423,7,16.0,114.29,74
600,2384,7,16.0,114.29,85
601,199,7,16.0,114.29,27
602,2248,7,16.0,114.29,92
603,1696,7,16.0,114.29,5
604,3288,7,16.0,114.29,83
605,3314,7,16.0,114.29,29
606,3298,7,16.0,114.29,2
607,1801,7,16.0,114.29,18
608,2403,7,16.0,114.29,58
609,1107,7,16.0,114.29,32
610,3311,7,16.0,114.29,29
611,3159,22,50.0,113.64,70
612,1420,12,27.0,112.5,30
613,1118,14,30.0,107.14,32
614,3199,7,15.0,107.14,41
615,1927,14,30.0,107.14,53
616,3026,25,52.0,104.0,59
617,380,8,16.0,100.0,49
618,51,8,16.0,100.0,49
619,76,8,16.0,100.0,89
620,2589,8,16.0,100.0,65
621,2583,8,16.0,100.0,22
622,3302,8,16.0,100.0,58
623,356,8,16.0,100.0,61
624,1813,8,16.0,100.0,79
625,20,8,16.0,100.0,37
626,870,8,16.0,100.0,41
627,897,8,16.0,100.0,2
628,896,8,16.0,100.0,9
629,893,6,12.0,100.0,42
630,891,8,16.0,100.0,23
631,890,8,16.0,100.0,27
632,1141,8,16.0,100.0,76
633,1878,8,16.0,100.0,33
634,1877,8,16.0,100.0,45
635,1873,8,16.0,100.0,42
636,204,8,16.0,100.0,2
637,2831,8,16.0,100.0,61
638,812,8,16.0,100.0,5
639,2599,8,16.0,100.0,78
640,64,8,16.0,100.0,20
641,1427,8,16.0,100.0,35
642,2447,5,10.0,100.0,76
643,2435,8,16.0,100.0,12
644,2445,6,12.0,100.0,7
645,1168,8,16.0,100.0,9
646,1405,8,16.0,100.0,58
647,2235,8,16.0,100.0,33
648,2378,8,16.0,100.0,44
649,2200,8,16.0,100.0,47
650,2245,8,16.0,100.0,61
651,3157,8,16.0,100.0,14
652,1654,8,16.0,100.0,69
653,1682,8,16.0,100.0,4
654,2840,8,16.0,100.0,43
655,2174,8,16.0,100.0,36
656,905,8,16.0,100.0,69
657,2850,8,16.0,100.0,62
658,2843,8,16.0,100.0,15
659,3193,8,16.0,100.0,16
660,672,8,16.0,100.0,89
661,881,8,16.0,100.0,8
662,876,8,16.0,100.0,76
663,852,8,16.0,100.0,55
664,153,8,16.0,100.0,85
665,3227,8,16.0,100.0,40
666,149,8,16.0,100.0,59
667,165,8,16.0,100.0,35
668,1166,8,16.0,100.0,24
669,1162,8,16.0,100.0,73
670,2821,8,16.0,100.0,7
671,642,8,16.0,100.0,42
672,2999,8,16.0,100.0,86
673,2859,8,16.0,100.0,46
674,2860,8,16.0,100.0,10
675,1161,8,16.0,100.0,37
676,2164,8,16.0,100.0,44
677,164,8,16.0,100.0,29
678,2560,8,16.0,100.0,84
679,1388,8,16.0,100.0,84
680,2166,8,16.0,100.0,82
681,1380,8,16.0,100.0,24
682,2259,8,16.0,100.0,60
683,1353,8,16.0,100.0,77
684,1869,8,16.0,100.0,72
685,1866,8,16.0,100.0,33
686,3124,8,16.0,100.0,34
687,1650,8,16.0,100.0,10
688,2165,8,16.0,100.0,1
689,1886,8,16.0,100.0,57
690,1478,8,16.0,100.0,24
691,930,10,20.0,100.0,80
692,929,8,16.0,100.0,2
693,1903,8,16.0,100.0,81
694,1712,8,16.0,100.0,88
695,159,8,16.0,100.0,70
696,158,8,16.0,100.0,39
697,1378,8,16.0,100.0,91
698,2684,8,16.0,100.0,58
699,2366,8,16.0,100.0,50
700,3120,8,16.0,100.0,15
701,519,8,16.0,100.0,47
702,1493,8,16.0,100.0,39
703,2100,8,16.0,100.0,57
704,1381,8,16.0,100.0,69
705,1920,8,16.0,100.0,21
706,1919,8,16.0,100.0,68
707,501,8,16.0,100.0,37
708,502,8,16.0,100.0,57
709,2466,8,16.0,100.0,28
710,2462,8,16.0,100.0,60
711,1159,8,16.0,100.0,63
712,524,8,16.0,100.0,61
713,1356,8,16.0,100.0,7
714,2698,8,16.0,100.0,87
715,1086,8,16.0,100.0,82
716,1144,8,16.0,100.0,49
717,486,8,16.0,100.0,88
718,3073,12,24.0,100.0,46
719,3071,8,16.0,100.0,60
720,1358,8,16.0,100.0,76
721,3070,8,16.0,100.0,91
722,2468,8,16.0,100.0,13
723,2489,8,16.0,100.0,28
724,1009,5,10.0,100.0,79
725,3065,8,16.0,100.0,27
726,1522,8,16.0,100.0,69
727,3218,8,16.0,100.0,1
728,1734,8,16.0,100.0,71
729,1843,5,10.0,100.0,22
730,2549,8,16.0,100.0,87
731,2547,8,16.0,100.0,11
732,1253,8,16.0,100.0,70
733,466,8,16.0,100.0,54
734,465,8,16.0,100.0,34
735,2527,8,16.0,100.0,72
736,915,8,16.0,100.0,8
737,480,8,16.0,100.0,4
738,476,8,16.0,100.0,72
739,2620,8,16.0,100.0,36
740,3043,8,16.0,100.0,26
741,2264,8,16.0,100.0,61
742,1363,8,16.0,100.0,77
743,1359,8,16.0,100.0,55
744,2267,8,16.0,100.0,1
745,2660,8,16.0,100.0,28
746,99,8,16.0,100.0,59
747,445,8,16.0,100.0,18
748,1007,8,16.0,100.0,88
749,2480,6,12.0,100.0,40
750,1195,8,16.0,100.0,66
751,2342,8,16.0,100.0,41
752,1335,8,16.0,100.0,12
753,2337,8,16.0,100.0,17
754,2924,8,16.0,100.0,72
755,3248,8,16.0,100.0,71
756,90,8,16.0,100.0,40
757,3262,8,16.0,100.0,33
758,103,8,16.0,100.0,74
759,1847,8,16.0,100.0,80
760,1761,8,16.0,100.0,86
761,2572,8,16.0,100.0,89
762,847,8,16.0,100.0,87
763,783,8,16.0,100.0,46
764,2323,8,16.0,100.0,86
765,3036,8,16.0,100.0,1
766,2941,8,16.0,100.0,47
767,2012,8,16.0,100.0,40
768,343,8,16.0,100.0,67
769,340,8,16.0,100.0,72
770,401,8,16.0,100.0,80
771,396,8,16.0,100.0,81
772,395,8,16.0,100.0,87
773,394,8,16.0,100.0,86
774,2514,8,16.0,100.0,78
775,2610,8,16.0,100.0,61
776,2606,8,16.0,100.0,51
777,2602,8,16.0,100.0,61
778,2282,8,16.0,100.0,45
779,1346,8,16.0,100.0,38
780,2594,8,16.0,100.0,23
781,75,8,16.0,100.0,79
782,2399,8,16.0,100.0,9
783,418,8,16.0,100.0,43
784,348,8,16.0,100.0,62
785,1601,8,16.0,100.0,82
786,374,8,16.0,100.0,57
787,2335,6,12.0,100.0,49
788,390,8,16.0,100.0,89
789,2986,8,16.0,100.0,26
790,2395,8,16.0,100.0,58
791,1136,8,16.0,100.0,13
792,1135,8,16.0,100.0,42
793,68,8,16.0,100.0,37
794,834,8,16.0,100.0,82
795,2577,8,16.0,100.0,44
796,1309,8,16.0,100.0,2
797,1305,8,16.0,100.0,48
798,62,8,16.0,100.0,43
799,2390,8,16.0,100.0,54
800,3315,8,16.0,100.0,81
801,230,21,40.0,95.24,48
802,959,16,30.0,93.75,60
803,3113,8,15.0,93.75,45
804,2562,28,52.0,92.86,33
805,92,7,13.0,92.86,3
806,766,11,20.0,90.91,24
807,1728,11,20.0,90.91,72
808,953,11,20.0,90.91,14
809,2820,30,54.0,90.0,89
810,798,9,16.0,88.89,37
811,2582,9,16.0,88.89,17
812,1306,9,16.0,88.89,68
813,2306,9,16.0,88.89,38
814,2407,9,16.0,88.89,65
815,3230,9,16.0,88.89,52
816,1149,9,16.0,88.89,22
817,1154,9,16.0,88.89,17
